,entity,doc_id,label
880,real-time PCR assay,78,Diagnostic tool
881,UAE,78,Location
882,pigeon,79,host
883,North American pigeons,79,host
884,doves,79,host
885,wild,79,location
886,Rhode Island,79,location
887,eastern Texas,79,location
888,West Nile virus,79,pathogen
889,Newcastle disease virus,79,pathogen
890,pigeon paramyxovirus serotype 1,79,pathogen
891,PPMV-1,79,pathogen
892,USDA,79,organization
893,matrix gene,79,gene
894,hemagglutinin inhibition,79,test
895,monoclonal antibodies,79,antibody
896,class II genotype VIb,79,genotype
897,fusion cleavage site motif,79,motif
898,intracerebral pathogenicity indices,79,index
899,real-time PCR test,79,test
900,probe site,79,site
901,fusion gene-based assay,79,assay
902,Toxoplasma gondii,80,Pathogen
903,Toxoplasmosis,80,Disease
904,Deer,80,Host
905,Blastocerus dichotomus,80,Host
906,Ozotocerus bezoarticus,80,Host
907,Brazil,80,Location
908,São Paulo,80,Location
909,Goiás,80,Location
910,Marsh deer,80,Host
911,Pampas deer,80,Host
912,State of São Paulo,80,Location
913,State of Goiás,80,Location
914,Contracaecum ogmorhini,81,Species
915,Nematoda,81,Class
916,Anisakidae,81,Family
917,Otariid seals,81,Host
918,Zalophus californianus,81,Species
919,Arctocephalus pusillus pusillus,81,Species
920,Arctocephalus pusillus doriferus,81,Species
921,Arctocephalus australis,81,Species
922,Mirounga leonina,81,Host
923,C. osculatum,81,Species
924,C. miroungae,81,Species
925,C. margolisi,81,Species
926,canine distemper virus,82,pathogen
927,wild carnivores,82,host
928,Switzerland,82,location
929,red foxes,82,host
930,Eurasian badgers,82,host
931,stone martens,82,host
932,pine martens,82,host
933,Eurasian lynx,82,host
934,domestic dog,82,host
935,neurons,82,cell type
936,SLAM,82,protein
937,hemagglutinin protein,82,protein
938,A75/17,82,pathogen
939,Hungarian CDV strain,82,pathogen
940,Hepatitis B virus,83,Pathogen
941,Human immunodeficiency virus,83,Pathogen
942,Hepatitis B,83,Disease
943,HIV,83,Disease
944,HBV,83,Disease
945,HBV vaccination,83,Vaccine
946,cART,83,Therapy
947,Tenofovir disoproxil fumarate,83,Medicine
948,Emtricitabine,83,Medicine
949,Lamivudine,83,Medicine
950,HIV-infected patients,83,Host
951,HBV-infected patients,83,Host
952,Rhodococcus equi,84,Pathogen
953,indigenous animals,84,Host
954,Lower Zambezi National Park,84,Location
955,Lochinvar National Park,84,Location
956,Zambia,84,Location
957,foals,84,Host
958,African indigenous animals,84,Host
959,R. equi,84,Pathogen
960,VapA,84,Antigen
961,VapB,84,Antigen
962,cryptic plasmids,84,Plasmid
963,Japanese encephalitis virus,85,Virus
964,Southeast Asia,85,Region
965,Japan,85,Country
966,Indonesia,85,Country
967,Malaysia,85,Country
968,Dengue virus,85,Virus
969,Nipah virus,85,Virus
970,Trichosurus vulpecula,86,Species
971,Australian brushtail possum,86,Common name
972,W1,86,Virus
973,W6,86,Virus
974,Bovine enterovirus serotype 2,86,Species
975,PS87/Belfast,86,Virus
976,possum kidney cells,86,Cell type
977,Madin-Darby bovine kidney cells,86,Cell type
978,Leptospira interrogans,87,Pathogen
979,Canis lupus,87,Host
980,Minnesota,87,Location
981,Leptospirosis,87,Disease
982,Wolves,87,Host
983,Serum samples,87,Sample
984,Microtiter agglutination test,87,Test
985,Seroepidemiology,87,Field of study
986,Serovars,87,Type
987,Australis,87,Serovar
988,Autumnalis,87,Serovar
989,Ballum,87,Serovar
990,Bataviae,87,Serovar
991,Bratislava,87,Serovar
992,Canicola,87,Serovar
993,Copenhageni,87,Serovar
994,Grippotyphosa,87,Serovar
995,Hardjo,87,Serovar
996,Pomona,87,Serovar
997,Pyrogenes,87,Serovar
998,Tarassovi,87,Serovar
999,gray wolf,88,animal
1000,Canis lupus,88,scientific name
1001,Croatia,88,location
1002,Dalmatia,88,location
1003,Leishmania infantum,88,pathogen
1004,visceral leishmaniosis,88,disease
1005,Brevinema andersonii,89,Pathogen
1006,Blarina brevicauda,89,Host
1007,Peromyscus leucopus,89,Host
1008,Escherichia coli,89,Pathogen
1009,Spirochaetales,89,Order
1010,Brevinema,89,Genus
1011,Borrelia burgdorferi,90,pathogen
1012,Lyme disease,90,disease
1013,Peromyscus leucopus,90,host
1014,Tamias striatus,90,host
1015,Dermacentor variabilis,90,tick
1016,Ixodes dammini,90,tick
1017,eastern Connecticut,90,location
1018,Arvicola scherman,91,Species
1019,Puumala virus,91,Virus
1020,Lymphocytic choriomeningitis virus,91,Virus
1021,Cowpox virus,91,Virus
1022,France,91,Location
1023,Eastern France,91,Location
1024,Water vole,91,Host
1025,Montane water vole,91,Host
1026,Canidae,92,class
1027,China,92,country
1028,canine coronaviruses,92,pathogen
1029,dogs,92,host
1030,foxes,92,host
1031,raccoon dogs,92,host
1032,minks,92,host
1033,RT-nPCR assay,92,test
1034,fecal samples,92,sample
1035,CCV,92,pathogen
1036,type I CCV,92,pathogen
1037,type II CCV,92,pathogen
1038,M gene,92,gene
1039,reference strain CCV 1-71,92,strain
1040,FCV-like CCV strain,92,strain
1041,novel strain,92,pathogen
1042,poultry,93,Host
1043,avian species,93,Host
1044,Nigeria,93,Location
1045,Egg drop syndrome '76,93,Pathogen
1046,chickens,93,Host
1047,guinea fowls,93,Host
1048,ducks,93,Host
1049,pigeons,93,Host
1050,EDS '76 antibodies,93,Antibody
1051,haemagglutination-inhibition test,93,Test
1052,vaccination,93,Intervention
1053,bovine viral diarrhea virus,94,disease
1054,mule deer,94,host
1055,Odocoileus hemionus,94,scientific name
1056,Arcanobacterium pyogenes,94,pathogen
1057,Wyoming,94,location
1058,USA,94,location
1059,North America,94,location
1060,parrot bornavirus 5,95,Pathogen
1061,PaBV-5,95,Pathogen
1062,Palm cockatoo,95,Host
1063,Probosciger aterrimus,95,Host
1064,aquatic bird bornaviruses,95,Pathogen
1065,passerine bornaviruses,95,Pathogen
1066,Psittaciform 2 bornavirus,95,Pathogen
1067,yaks,96,host
1068,Bos grunniens,96,scientific name
1069,bovine herpesvirus 1,96,pathogen
1070,BoHV-1,96,common name
1071,Moraxella bovis,96,pathogen
1072,Neisseria spp.,96,pathogen
1073,keratoconjunctivitis,96,disease
1074,Cape parrots,97,species
1075,Poicepahlus robustus,97,scientific name
1076,Beak and feather disease viruses,97,pathogen
1077,BFDV,97,pathogen
1078,South Africa,97,location
1079,KwaZulu-Natal Province,97,location
1080,budgerigars,97,species
1081,turkey,98,host
1082,turkey meningoencephalitis virus,98,pathogen
1083,RT-PCR,98,diagnostic method
1084,virus isolation,98,diagnostic method
1085,embryonated eggs,98,host
1086,suckling mice,98,host
1087,Ntaya serogroup VI,98,serogroup
1088,flavivirus,98,virus family
1089,arthopod,98,vector
1090,human cytomegalovirus,99,pathogen
1091,cancer,99,disease
1092,HCMV,99,pathogen
1093,tumor cells,99,cell type
1094,glioblastoma,99,disease
1095,HCMV-infected glioblastoma cells,99,cell type
