"","entity","deepseek","gemma2","llama","llama70b","mistral","models_present","n_entity_types"
"889","Namibia","Country",NA,"Country","Country",NA,3,1
"890","faecal helminth egg","Sample",NA,"Organism",NA,NA,2,2
"891","oocyst","Sample","Parasite life cycle stage",NA,NA,"Parasitic stage",3,3
"892","Ancylostoma braziliense","Helminth","Nematode","Nematode species","Nematode species","Nematode",5,3
"893","Gnathostoma spinigerum","Helminth","Nematode","Nematode","Nematode species","Nematode",5,3
"894","Uncinaria stenocephala","hookworm","Nematode","Nematode species","Nematode species","Nematode",5,3
"895","Isospora felis","Protozoan parasite","Parasite","Coccidian parasite","Coccidian parasite species","Coccidian",5,5
"896","flotation technique","Method","Medical diagnostic technique",NA,"Laboratory technique","Diagnostic procedure",4,4
"897","McMaster method","Method","Parasite quantification technique","Laboratory technique","Laboratory technique","Technique",5,4
"898","winter 2003","Time Period","Time Period","Season",NA,NA,3,2
"899","summer 2004","time period",NA,"Time period",NA,NA,2,2
"900","lion scats","Sample",NA,NA,"Feces",NA,2,2
"901","14866 oocysts per gram of faeces","Oocyst count",NA,NA,NA,NA,1,1
"902","opportunistic collection","Method",NA,NA,NA,NA,1,1
"903","endoparasite survey","biological survey",NA,NA,NA,NA,1,1
"904","infection rates","parasite infection rate",NA,NA,NA,NA,1,1
"905","habitat","biological habitat",NA,NA,"Environmental Habitat","EnvironmentalCondition",3,3
"906","semi-captive conditions","environmental condition","Animal Husbandry Practice",NA,"Environmental Factor","Environmental Condition",4,4
"907","deworming","diagnostic procedure","Medical Procedure",NA,"Therapeutic procedure","MedicalProcedure",4,4
"908","Bai Hokou","Geographical location","Geographic Location","Location","Location","Location",5,3
"909","Central African Republic","Country","Geopolitical Entity","Country","Country","Geopolitical Entity",5,2
"910","Dzangha-Ndoki National Park","National Park","Protected Area","Protected Area","Protected Area","National Park",5,2
"911","2 degrees 51'34''N, 16 degrees 28'03''E","LLM_Default_Classification",NA,NA,NA,NA,1,1
"912","October 1999 to November 2000","Time Period",NA,NA,NA,NA,1,1
"913","75 fecal samples","Fecal sample",NA,NA,NA,NA,1,1
"914","endoparasites","endoparasite","Parasite",NA,NA,"Parasitic organism",3,3
"915","amoebae","Endoparasite","Protist","Protozoa",NA,"Parasite",4,4
"916","entodiniomorph ciliates","protozoa","Protist","Eukaryotic microorganism",NA,"Parasite",4,4
"917","Prototapirella gorillae","Protozoa","Entodiniomorph ciliate","Species of Entodiniomorph Ciliate","Parasitic nematode species","Ciliate",5,5
"918","Troglodytella spp.","Biological_Entity","Endoparasite","Nematode parasite","Nematode","Parasitic organism",5,5
"919","Gorillophilus thoracatus","Biological_Entity","Parasite","Nematode","Nematode parasite species","Parasitic nematode",5,5
"920","Balantidium-like organism","Protozoan","Protozoan","Ciliate","Protozoan","Parasitic protozoan",5,3
"921","strongyle/trichostrongyle eggs","Trichostrongylidae","Parasite eggs","Parasitic egg",NA,"Parasitic eggs",4,4
"922","Mammomonogamus sp.","Nematode parasite","Nematode","Nematode parasite","Nematode species","Parasitic Nematode",5,4
"923","Probstmayria sp.","helminth","Parasite","Nematode species","Nematode species","Parasitic organism",5,4
"924","spirurid","family","Nematode","Nematode",NA,"Nematode",4,2
"925","trichuroid","helminth","Nematode","Nematode",NA,"Nematode",4,2
"926","trematodes","Endoparasite","parasitic flatworms",NA,NA,"Parasitic flatworms",3,3
"927","flagellates","parasites","Protozoa",NA,NA,"Protozoa",3,2
"928","cestodes","Parasites","parasitic worm","Helminth",NA,"Parasitic flatworms",4,4
"929","health-monitoring program","coprologic study",NA,NA,NA,"Medical Program",2,2
"930","ecotourism","Tourism Type","Tourism Activity",NA,NA,"Activity",3,3
"931","Colobus vellerosus","hosts","hosts","hosts","Species of Old World monkey","Species",5,3
"932","ursine colobus monkeys","Colobus vellerosus","Animal Species",NA,"Species","Animal species",4,4
"933","Boabeng-Fiema Monkey Sanctuary (BFMS)","Sanctuary","Wildlife Sanctuary",NA,NA,NA,2,2
"934","Ghana","Geographical Region","Country","Country","Country","Country",5,2
"935","Isospora sp.","Protozoa","Parasite","Species of protozoan parasite","Protozoa","Parasite",5,3
"936","G. duodenalis Assemblage B","Protozoan parasite assemblage","Parasite","Species of Giardia","Giardia assemblage","Parasite",5,4
"937","Blastocystis sp.","protozoan parasite","Parasite","Species of Blastocystis","Parasitic protist","Parasite",5,4
"938","Blastocystis sp., subtype 2","Protozoa","Parasite",NA,NA,NA,2,2
"939","Ascaris sp.","Parasite","Nematode","Nematode species","Nematode species","Parasite",5,3
"940","Enterobius sp.","Parasite.Helminth","Parasite","Nematode species","Nematode species","Parasite",5,3
"941","Trichuris sp.","Helminth","Nematode",NA,"Nematode species","Parasite",4,4
"942","strongyle sp.","gastrointestinal parasite","Nematode",NA,"Nematode species","Parasitic Nematode",4,4
"943","digenean trematode","digenean trematode","Parasite",NA,NA,"Parasitic Worm",3,3
"944","fecal floatation","parasitological technique","Technique",NA,"Laboratory technique","Method",4,4
"945","fluorescein labeled antibodies","Biological Entity","Technique",NA,"Reagent","Method",4,4
"946","PCR techniques","Parasite Detection Method","Technique","Molecular Biology Technique","Laboratory technique","Method",5,5
"947","July 2004 to August 2005","Time period",NA,NA,NA,NA,1,1
"948","long wet season","Environmental Factor","Environmental Factor",NA,"ClimateSeason","Climate Phenomenon",4,3
"949","long dry season","Environmental Factor","Environmental Factor",NA,"ClimatologicalSeason","Environmental Phenomenon",4,3
"950","human settlements","Population Center","Geographic Location","urban areas","Habitat","Geographical location",5,5
"951","I. belli","Protozoan parasite","Parasite","Fungal species","Species of Ichthyophthirius","Parasite",5,4
"952","anthropozoonotic transmission","Zoonotic Transmission","Disease Transmission Mechanism",NA,NA,"Biological Process",3,3
"953","zoonotic transmission","zoonotic transmission","Disease transmission",NA,NA,"Biological Process",3,3
"954","Papio spp.","Genus","Host","Primate species",NA,NA,3,3
"955","intestinal parasites","parasite","Pathogen","Helminth","Helminth","Disease",5,4
"956","Gombe","National Park","Geographic Location","National Park","Location/Mountain","Location",5,4
"957","Mt. Assirik","Mountain","Mountain","Mountain","Mountain","Geographical Location",5,2
"958","Senegal","Country","Geopolitical Entity","Country","Country","Country",5,2
"959","intestinal parasite loads","Measurement",NA,NA,NA,"Measurement",2,1
"960","fecal specimens","fecal specimen","Biological sample","Biological Sample","BiologicalSample","Biological sample",5,4
"961","prevalence of infection","Measurement",NA,"Disease prevalence",NA,NA,2,2
"962","presence or absence of parasites","Measurement",NA,NA,NA,NA,1,1
"963","Experimental and clinical parasitology","Field of study",NA,NA,NA,NA,1,1
"964","wet season","Environmental Factor",NA,"Meteorological phenomenon",NA,"Environmental Condition",3,3
"965","dry season","Environmental Factor",NA,"Environmental Phenomenon",NA,NA,2,2
"966","crested mangabey","Host","Primate","Primate species","Species","Animal",5,5
"967","Cercocebus galeritus","Host","Host","Species of primate","Species","Host",5,3
"968","fecal egg counts","Measurement","Diagnostic test result","Laboratory Test Result","Laboratory_test","Parasitological Test",5,5
"969","prevalence of gastrointestinal parasites","Measurement","Property",NA,NA,NA,2,2
"970","behavioral ecology","Characteristic","Property","Property","Biological Property","Property",5,3
"971","terrestrial omnivores","Characteristic","Animal","Property","dietary category","Property",5,4
"972","social group size","Characteristic",NA,NA,NA,NA,1,1
"973","home range","Characteristic",NA,NA,NA,NA,1,1
"974","protozoans","Parasite","Parasite","Parasite","Eukaryotic microorganism","Parasite",5,2
"975","intermediate hosts","Biological Organism","Biological organism",NA,NA,NA,2,2
"976","parasite species","Measurement",NA,NA,NA,NA,1,1
"977","males","Demographic",NA,NA,NA,NA,1,1
"978","lactating females","Demographic",NA,"Organism",NA,NA,2,2
"979","nonlactating females","Demographic","Sex","Organism","Demographic","Host",5,4
"980","Phagicola angrense","causes","Parasite","Species of Digenea (fluke)","Parasitic worm species","causes",5,4
"981","Digenea: Heterophyidae","Family",NA,NA,NA,NA,1,1
"982","raccoon","Procyon lotor",NA,"Mammal",NA,NA,2,2
"983","enteritis","Disease","Infectious disease","Gastrointestinal disease","Disease","Disease",5,3
"984","Parramore Island, Virginia (USA)","GeographicalRegion",NA,NA,NA,NA,1,1
"985","weak","HealthStatus","Clinical finding",NA,"Sign or Symptom",NA,3,3
"986","ataxic","Undefined/Unknown","Neurological symptom",NA,"Symptom",NA,3,3
"987","melanic soft feces","sign or symptom",NA,NA,NA,NA,1,1
"988","emaciated","Not present in context","Body Condition",NA,"Pathological State","Medical Condition",4,4
"989","pale","Adjective","skin discoloration",NA,"Skin_Discoloration","You must provide a classification",4,4
"990","ascites","Pathological Condition","abnormal fluid accumulation in the peritoneal cavity",NA,"Disease or Syndrome","Medical Condition",4,4
"991","prominent mesenteric vessels","mesenteric blood vessels",NA,NA,NA,NA,1,1
"992","fetid bloody material","diarrhea",NA,NA,"Feces","Pathological material",3,3
"993","small intestinal mucosa","Tissue","Tissue","Tissue","Anatomical Structure","Tissue",5,2
"994","acute hemorrhage","Symptom","Pathological process",NA,NA,NA,2,2
"995","plasma cells","plasma cell","immune cells","Cell type","immune cell type","Cell type",5,4
"996","eosinophils","Cell","white blood cell","Cell type","Blood cell type","Cell type",5,4
"997","lamina propria","Tissue","Tissue","Tissue","Anatomical structure","Tissue",5,2
"998","crypts","Tissue","intestinal crypts",NA,"Anatomical structure","Tissue",4,3
"999","epithelium","Tissue","Tissue",NA,"Epithelial tissue","Tissue",4,2
"1000","male","sex","Sex","Sexual characteristic",NA,NA,3,3
"1001","Trypanosomes","Protozoan",NA,NA,"Parasitic protozoa",NA,2,2
"1002","T. brucei s.l.","parasite","Parasite","Trypanosome species","Species complex","Trypanosoma brucei sensu lato",5,5
"1003","T. congolense forest type","subspecies","Parasite subspecies","Biological Taxon","Parasite subtype","Trypanosoma species",5,5
"1004","T. congolense savannah type","Trypanosoma congolense subspecies","Trypanosoma congolense subspecies","Trypanosoma species subtype","Subspecies","Trypanosoma congolense subspecies",5,3
"1005","T. vivax","Trypanosoma vivax","Parasite","Plasmodium species","Species of protozoan parasite","Parasite",5,4
"1006","T. simiae","Trypanosoma species","Parasite","Species of Plasmodium","Species","Trypanosoma species",5,4
"1007","T. b. gambiense group 1","Parasite strain","Parasite subspecies","Trypanosoma subspecies","Parasitic subspecies","Trypanosoma brucei gambiense strain",5,5
"1008","Wild animals","Host",NA,NA,"Host",NA,2,1
"1009","Ungulates","Host",NA,NA,"Organism",NA,2,2
"1010","Rodents","Host",NA,NA,"Organism",NA,2,2
"1011","Pangolins","Host",NA,NA,"Organism",NA,2,2
"1012","Carnivores","Host",NA,NA,"Organism",NA,2,2
"1013","Reptiles","Host",NA,NA,"Organism",NA,2,2
"1014","Primates","Host",NA,NA,"Organism",NA,2,2
"1015","Monkeys","Host",NA,NA,NA,NA,1,1
"1016","Cercocebus torquatus","Host","Host","Host","Host","Host",5,1
"1017","Simian malaria","Disease","Disease",NA,"Disease","Disease",4,1
"1018","Plasmodium brasilianum","Plasmodium species","Parasite","Species of protozoan parasite","Species of Parasite","Parasite",5,4
"1019","non-human primates","Host",NA,NA,"Organism","Host",3,2
"1020","Brazilian Amazon","Geographical region","Geographic Region","Geographic Region","Geographic Region","Geographical Location",5,3
"1021","Balbina","Location","Hydroelectric plant","Hydroelectric Plant","Hydroelectric Dam","Hydroelectric Plant",5,4
"1022","Samuel","Person","Hydroelectric Plant","Hydroelectric Plant","Hydroelectric Plant","Hydroelectric Plant",5,2
"1023","Alouatta seniculus straminea","Host","Host","Host","Host","Host",5,1
"1024","red-howler monkey","Host","Animal","Primate species",NA,"Animal",4,3
"1025","Chiropotes satanas chiropotes","Host","Host","Host","Host","Host",5,1
"1026","bearded-saki","Host","Primate","Primate species",NA,"Animal species",4,4
"1027","Ateles paniscus paniscus","Host","Host","Host","Host","Host",5,1
"1028","spider-monkey","Host","Ateles paniscus paniscus","Primate, specifically Ateles paniscus",NA,"Animal",4,4
"1029","Saimiri ustus","Host","Host","Host","Host","Host",5,1
"1030","squirrel-monkey","Host","Saimiri ustus","Primate",NA,"Animal species",4,4
"1031","Ateles paniscus chamek","Host","Host","Host","Host","Host",5,1
"1032","black-faced-spider-monkey","Host","subspecies","Primate, Species, Ateles paniscus chamek",NA,"Animal Species",4,4
"1033","15.8%","Percentage","Infection rate",NA,"Infection rate","Percentage",4,2
"1034","9.9%","Percentage","Infection rate",NA,"Infection rate","Percentage",4,2
"1035","126","Figure","Number of primates",NA,"Quantity","Number",4,4
"1036","252","Figure","Primate",NA,"Count","Number",4,4
"1037","32.3%","Percentage","Infection rate",NA,"Infection rate","Percentage",4,2
"1038","50%","Percentage","Percentage","Percentage","Percentage","Percentage",5,1
"1039","28.6%","Percentage","Infection rate",NA,"Infection rate","Percentage",4,2
"1040","zoonosis","Infectious Disease",NA,NA,NA,"Disease",2,2
"1041","zoonotic potential","Characteristic",NA,NA,"Risk Factor",NA,2,2
"1042","Hepatozoonosis","Disease","Disease",NA,NA,"Disease",3,1
"1043","tissue stages","parasitic life cycle stage",NA,NA,NA,"Tissue",2,2
"1044","skeletal muscle","tissue","Anatomical Structure","muscle tissue","Muscle tissue","Tissue",5,5
"1045","cardiac muscle","cardiac muscle tissue","Tissue","Cardiac Muscle Cell","Tissue","Tissue",5,3
"1046","North America","Continent","Geographic Region","Continent","Continent","Geographical Region",5,3
"1047","epizootiology","field of study",NA,NA,NA,NA,1,1
"1048","canine hepatozoonosis","parasitic disease",NA,"Disease",NA,NA,2,2
"1049","Leishmania (Viannia) shawi sp. n.","Species","Parasite species",NA,"Species of protozoan parasite","Parasite",4,4
"1050","monkey","Host","Colobus vellerosus","Primate",NA,NA,3,3
"1051","Cebus apella","Host","Host","Host","Host","Host",5,1
"1052","Chiropotes satanus","Host","Host","Host","Host","Host",5,1
"1053","sloth","Host",NA,NA,"Mammal",NA,2,2
"1054","Choloepus didactylus","Host","Host","Host","Host","Host",5,1
"1055","Bradypus tridactylus","Host","Host","Host","Host","Host",5,1
"1056","procyonid","Host",NA,NA,"Raccoon species",NA,2,2
"1057","Nasua nasua","Host","Host","Host","Host","Host",5,1
"1058","sandfly","Host",NA,NA,NA,NA,1,1
"1059","Lutzomyia whitmani","Host","Host","Organism","Insect","Host",5,3
"1060","primary forest","habitat","Habitat","Terrestrial Ecosystem","Habitat","ecological habitat",5,4
"1061","Pará","Geographical Region",NA,"Administrative Division",NA,NA,2,2
"1062","north Brazil","Geographical Region","Geographic Location","Geographic Region","GeographicRegion","Geographical Region",5,4
"1063","morphology","Study characteristic","Characteristic","Property","Character","Property",5,4
"1064","isoenzyme profiles","Study characteristic","Characteristic","Property","Character","Property",5,4
"1065","kDNA buoyant densities","Study characteristic","Characteristic",NA,"Character","Property",4,4
"1066","monoclonal antibodies","Study characteristic",NA,NA,NA,NA,1,1
"1067","Leishmaniasis","Disease",NA,NA,NA,NA,1,1
"1068","wild marten","animal",NA,"Mammal",NA,NA,2,2
"1069","Martes melampus","species","Animal Species","Species","Species","Animal species",5,4
"1070","hepatozoonosis","Protozoan Infection","Disease",NA,"Disease",NA,3,2
"1071","Gifu","GeographicalRegion","Geographic Location","Prefecture","AdministrativeRegion","Geographical Location",5,5
"1072","perirenal adipose tissue","Tissue","Tissue","Organ","Tissue","Organ",5,2
"1073","diaphragm","Tissue","Tissue","Organ","Tissue","Organ",5,2
"1074","mesentery","Tissue","Tissue","Organ","Tissue","Organ",5,2
"1075","tongue","Tissue","Tissue","Organ","Tissue","Organ",5,2
"1076","omentum","Tissue","Tissue","Organ","Tissue","Organ",5,2
"1077","perisplenic adipose tissue","Tissue","Tissue","Organ","Tissue","Organ",5,2
"1078","1991","Year","Year","Year","Year","Year",5,1
"1079","1992","Year","Year","Year","Year","Year",5,1
"1080","70","Reference","Number of individuals",NA,"Count","Age",4,4
"1081","67","Figure",NA,"Number of municipalities",NA,NA,2,2
"1082","96%","Percentage","Percentage",NA,"Percentage","Percentage",4,1
"1083","10 to 15%","Percentage",NA,NA,NA,"Percentage",2,1
"1084","red foxes","Species","Animal","Mammal","Organism::Eukaryote::Animal::Vertebrate::Mammal::Carnivore::Canine::Vulpes vulpes","Animal Species",5,5
"1085","sarcoptic mange","Disease","Disease","Disease","Disease","Disease",5,1
"1086","traumatic injury","Disease","Disease","Physical Injury","Disease","Disease",5,2
"1087","canine distemper","Disease","Disease","Disease","Disease","Disease",5,1
"1088","capture myopathy","Disease","Disease","Disease","Disease","Disease",5,1
"1089","congenital absence of guard hairs","Disease","Disease","Dermatological condition","Disease","Disease",5,2
"1090","intradermal tick infestation","Disease","Disease","Tick-borne disease","Disease","Disease",5,2
"1091","otodectic mange","Disease","Disease","Disease","Disease","Disease",5,1
"1092","toxicosis","Disease","Disease","Poisoning","Disease","Disease",5,2
"1093","51","Number",NA,"Number of individuals","Quantity","Number of Animals",4,4
"1094","1967 to 1995","Time Period",NA,NA,NA,NA,1,1
"1095","33","SampleSize",NA,"Number of cases","Count",NA,3,3
"1096","5","Number",NA,NA,"Quantity","Number",3,2
"1097","65%","Percentage",NA,NA,"Percentage","Percentage",3,1
"1098","Muscular Sarcocystis infection","Parasitic infection",NA,NA,NA,"Disease",2,2
"1099","bear","Ursus americanus","Ursus americanus","Ursus americanus","Ursus americanus","Ursus americanus",5,1
"1100","Sarcocystis","Genus","Parasite",NA,"Protozoan parasite species","Parasite",4,3
"1101","Sarcocystis species","Sarcocystis species",NA,NA,NA,"Parasite",2,2
"1102","skeletal muscles","muscle tissue","Anatomical Structure","Muscle tissue","Anatomical Structure","Tissue",5,4
"1103","45 x 37.5 microm","Measurement","Measurement","Measurement","Measurement","Measurement",5,1
"1104","67.5 x 50 microm","Measurement","Measurement","Measurement","Measurement","Measurement",5,1
"1105","thin (<2 microm) sarcocyst wall","Measurement",NA,NA,NA,NA,1,1
"1106","up to 2 microm long","Measurement",NA,NA,NA,NA,1,1
"1107","up to 0.7 microm wide","Measurement",NA,NA,NA,NA,1,1
"1108","approximately 6 X 2.5 microm","Measurement",NA,NA,NA,NA,1,1
"1109","villar protrusions","anatomical structure","Structure",NA,"Anatomical Structure","Tissue",4,4
"1110","bradyzoites","protozoan","Structure","Toxoplasma parasite stage","Toxoplasma gondii life stage","Biological cell",5,5
"1111","19","Count",NA,NA,NA,NA,1,1
"1112","heart tissue","heart tissue","Tissue","Cardiac tissue","Cardiac tissue","biological sample",5,4
"1113","20-gram","mass unit",NA,NA,NA,NA,1,1
"1114","direct agglutination test","diagnostic test","Diagnostic test","Diagnostic test","Laboratory Test","DiagnosticTest",5,4
"1115","1:50","Ratio","Antibody titer","Serological dilution ratio","Dilution ratio","Measurement",5,5
"1116","7","Reference",NA,"Number of individuals","Count",NA,3,3
"1117","Muscular sarcocystosis","Disease","Disease",NA,"Disease",NA,3,1
"1118","Honshu, Japan","island",NA,NA,NA,NA,1,1
"1119","Wild carnivores","Host",NA,NA,NA,NA,1,1
"1120","Japanese raccoon dogs","Host","Host",NA,"Species",NA,3,2
"1121","Nyctereutes procyonoides viverrinus","Host","Host","Host","Host","Host",5,1
"1122","Japanese red fox","Host","Host","Vulpes vulpes japonica","Vulpes vulpes japonica","Animal",5,3
"1123","Vulpes vulpes japonica","Host","Host","Host","Host","Host",5,1
"1124","Japanese martens","Host",NA,"Mammal species","Species",NA,3,3
"1125","Japanese badgers","Host","Host",NA,"Species",NA,3,2
"1126","Meles meles anakuma","Host","Host","Host","Host","Host",5,1
"1127","red fox","animal species","Animal","Mammal","Species","animal species",5,4
"1128","Fairmount Park","park","Park","Park","Park","Location",5,3
"1129","Philadelphia","City","City","City","City","City",5,1
"1130","Pennsylvania","Geographical Region","GPE (Geopolitical Entity)","US State","AdministrativeRegion","State",5,5
"1131","rabies antigen","viral antigen","Protein",NA,NA,"Biological molecule",3,3
"1132","distemper virus","virus","Virus","Viral pathogen","Virus","virus",5,3
"1133","immunohistochemical staining","Medical Procedure","Diagnostic test","Diagnostic technique","Laboratory Technique","Diagnostic procedure",5,5
"1134","pale foci","pathological lesion",NA,NA,NA,"Pathological lesion",2,2
"1135","4 mm","Lesion measurement",NA,NA,NA,"Measurement",2,2
"1136","Toxoplasmic encephalitis","Disease","Disease","Disease","Disease","Disease",5,1
"1137","Rocky Mountain bighorn sheep","Rocky Mountain bighorn sheep","Animal","Mammal","Organism - Mammal - Bovidae - Ovis canadensis","Animal",5,4
"1138","Ovis canadensis canadensis","Rocky Mountain bighorn sheep","Subspecies","Ovis canadensis subspecies","Subspecies of sheep","Animal",5,5
"1139","Hells Canyon area","Geographic Region",NA,NA,NA,NA,1,1
"1140","Washington, USA","State",NA,NA,NA,NA,1,1
"1141","encephalitis","Disease",NA,"Non-suppurative encephalitis","Disease","Disease",4,2
"1142","pneumonic pasteurellosis","Disease",NA,NA,"Disease",NA,2,1
"1143","Pasteurella-associated pneumonia","Disease",NA,NA,NA,NA,1,1
"1144","4-mo-old","Age","Age","Age","Age","Age",5,1
"1145","protozoa","Protozoan parasite",NA,NA,"EukaryoticMicroorganism","Parasite",3,3
"1146","legacy of low-impact logging","Environmental Factor",NA,NA,NA,NA,1,1
"1147","potentially pathogenic protozoa","protozoan parasite",NA,NA,NA,"Parasite",2,2
"1148","free-ranging gorillas and chimpanzees","Host",NA,NA,NA,NA,1,1
"1149","Pan troglodytes troglodytes","Host","Chimpanzee subspecies","Chimpanzee subspecies","Species","Host",5,3
"1150","Republic of Congo","Country","Geopolitical Entity","Country","Country","Geopolitical Entity",5,2
"1151","Goualougo Triangle","Geographical Region",NA,"Geographic Region","Geographic Region","Geographical Location",4,3
"1152","Nouabalé-Ndoki National Park","National Park",NA,"Protected Area","Protected Area","Geographical Location",4,3
"1153","Kabo Concession","Concession","Logging concession","Protected area/Conservation concession","Concession area","Geographical Location",5,5
"1154","infections","Protozoal Infection",NA,NA,NA,NA,1,1
"1155","logging","activity",NA,"Process","Event","Process",4,3
"1156","undisturbed forest","natural environment",NA,NA,NA,NA,1,1
"1157","previously logged concession","location",NA,NA,NA,NA,1,1
"1158","Cryptosporidium","Zoonotic Protozoa","Protozoan parasite","Protozoan parasite","Protozoan parasite species","Genus",5,4
"1159","Giardia","Protozoan parasite","Protozoan parasite","Protozoan parasite","Protozoan species","Protozoan",5,3
"1160","3.73%","prevalence",NA,"Proportion","Percentage",NA,3,3
"1161","study","research study",NA,NA,NA,"Scientific Research",2,2
"1162","infects","action",NA,NA,NA,NA,1,1
"1163","isolated from","Source",NA,NA,NA,NA,1,1
"1164","Megatrypanum trypanosomes","Species","Parasite","Trypanosome species","Parasitic protozoa species","Parasitic organism",5,5
"1165","Trypanosoma (Megatrypanum) theileri","Trypanosoma species","Parasite","Species of Trypanosome","Species of protozoan parasite","Parasitic protozoan",5,5
"1166","European Cervidae","Host","Host","Host","Host","Host",5,1
"1167","Cervus dama","Host","Host","Host","Host","Host",5,1
"1168","roe deer","Host","Animal","Mammal, Species, Capreolus capreolus","Species","Animal",5,4
"1169","Capreolus capreolus","Host","Host","Host","Host","Host",5,1
"1170","blood culture","Process","Procedure",NA,NA,"Process",3,2
"1171","NNN agar slopes","Culture medium","Culture medium","Biological medium","Culture medium","Laboratory material",5,3
"1172","Schneider's Drosophila medium","culture medium","Cell culture medium","Biological medium","Cell culture medium","Cell culture medium",5,3
"1173","isoenzyme analysis","Process",NA,NA,"Technique","Process",3,2
"1174","molecular karyotyping","Process",NA,"Process","Technique","Process",4,2
"1175","starch gel electrophoresis","Process","Procedure","Process","Technique","Process",5,3
"1176","isocitrate dehydrogenase","enzyme","Enzyme","Property","Enzyme","Enzyme",5,3
"1177","phosphoglucomutase","Enzyme","Enzyme","Property","Enzyme","Enzyme",5,2
"1178","cluster analysis","Process","Procedure","Process",NA,"Process",4,2
"1179","pulsed-field gradient gel electrophoresis (PFGE)","Process","Procedure","Process","Technique",NA,4,3
"1180","chromosomes","Biological Entity","Genetic material","Property","Eukaryotic chromosomes","Biological Structure",5,5
"1181","9","Reference number",NA,NA,NA,NA,1,1
"1182","300 kb","DNA fragment",NA,NA,NA,NA,1,1
"1183","2200 kb","Genome size",NA,NA,NA,NA,1,1
"1184","nonhuman primates","Host",NA,"Organism","Organism","Organism",4,2
"1185","genetics","scientific discipline",NA,NA,"Biological Field","Biological field of study",3,3
"1186","FY (DARC) gene","gene",NA,"Genetic locus",NA,NA,2,2
"1187","yellow baboons","Host","Papio cynocephalus","Primate species","Species",NA,4,4
"1188","Papio cynocephalus","Host","Species","Species","Species","Species",5,2
"1189","Amboseli National Park","National Park","Geographic Location","Protected Area","Protected Area","Geographical Location",5,4
"1190","chemokine receptor","Duffy antigen receptor","Duffy antigen receptor for chemokines (DARC)",NA,"Duffy antigen/chemokine receptor",NA,3,3
"1191","erythrocyte","erythrocyte",NA,NA,NA,"Cell",2,2
"1192","Plasmodium vivax","Parasite","Malarial parasite","Malaria parasite","Protozoan parasite species","Parasite",5,4
"1193","genetic variation","gene variant",NA,NA,"Single Nucleotide Variation","Process",3,3
"1194","Hepatocystis","Apicomplexa","Parasite","Malaria-like pathogen","Protozoan parasite","Pathogen",5,5
"1195","in vitro reporter gene assays","gene expression assay","Laboratory technique",NA,"Laboratory Technique",NA,3,3
"1196","non-neutral evolution","non-neutral evolution","Evolutionary process",NA,"Biological Process","Process",4,4
"1197","multi-host pathogens","multi-host pathogen",NA,NA,NA,NA,1,1
"1198","carnivore management","animal management",NA,NA,NA,NA,1,1
"1199","southern Africa","Geographic Region","Geographic Region","Geographic Region","Region","Geopolitical Region",5,3
"1200","retrospective serosurvey","retrospective serosurvey",NA,NA,NA,NA,1,1
"1201","1018","Sample Size",NA,NA,NA,"Number",2,2
"1202","feline","Host",NA,"Organism","Organism",NA,3,2
"1203","canine","Host",NA,"Organism","Organism",NA,3,2
"1204","African wild dogs","Carnivora","Host","Mammal species","Species","Animal species",5,5
"1205","Lycaon pictus","Host","Host","Species","Species","Species",5,2
"1206","Botswana","Geographical Region","Geographical Location","Country","Country","Country",5,3
"1207","disease-related mortality","Disease-related mortality",NA,NA,NA,NA,1,1
"1208","pup survivorship","ecological",NA,"Biological Phenomenon","Biological Process","Biological Phenomenon",4,3
"1209","disease outbreak","disease outbreak","Epidemic",NA,"Epidemic",NA,3,2
"1210","1996","Year",NA,NA,NA,"Year",2,1
"1211","4 weeks","Time Period",NA,NA,NA,"Duration",2,2
"1212","ecotones","ecological transition zone","Ecological Feature","Biological boundary","GeographicFeature","Ecological boundary",5,5
"1213","landscape heterogeneities","ecological feature",NA,"Environmental feature","Environmental Feature",NA,3,3
"1214","domestic animal reservoirs","Animal Reservoir","Host","Animal population","Animal Reservoir",NA,4,3
"1215","pathogen maintenance","Process",NA,"Biological Process",NA,"Process",3,2
"1216","large systems","Study Design",NA,NA,NA,"ecosystems",2,2
"1217","conservation efforts","wildlife management","Wildlife Conservation Program",NA,"Wildlife Conservation Program","Conservation Program",4,3
"1218","metapopulations","Biological population",NA,NA,"Biological Population","Ecological concept",3,3
"1219","generalist pathogen invasion","Process",NA,NA,NA,"Process",2,1
"1220","wildlife conflict","Disease management","Environmental Issue","Event","Environmental Factor","Process",5,5
"1221","population depression","Population decline",NA,"Mental health disorder in a population",NA,NA,2,2
"1222","outbreak boundaries","Geographical Area",NA,NA,NA,NA,1,1
"1223","hantavirus pulmonary syndrome","Disease","Disease","Disease","Disease","Disease",5,1
"1224","white-footed mouse","mouse species","Animal","Rodent species","Species","Species",5,4
"1225","Peromyscus leucopus","Reservoir","Animal Species","Species","Rodent species","Species",5,4
"1226","M genome","Viral genome segment",NA,"Hantavirus genome","Viral genome","Viral genome",4,3
"1227","New York virus","Hantavirus strain","Hantavirus","Hantavirus","Hantavirus","Virus",5,3
"1228","patient","None","human","human patient","Human","Human",5,4
"1229","northeastern United States","Geographical region","Geographic Region","Geographic Region","GeographicRegion",NA,4,3
